date,inbound_stock
2026-06-11,12823
2026-06-12,10894
2026-06-13,8183
2026-06-14,6157
2026-06-15,14454
2026-06-16,14315
2026-06-17,13155
2026-06-18,12739
2026-06-19,10858
2026-06-20,8109
2026-06-21,5849
2026-06-22,14709
2026-06-23,14529
2026-06-24,13304
2026-06-25,12384
2026-06-26,10943
2026-06-27,8541
2026-06-28,6366
2026-06-29,14814
2026-06-30,15058
2026-07-01,12984
2026-07-02,13379
2026-07-03,12501
2026-07-04,8141
2026-07-05,6105
2026-07-06,14949
2026-07-07,15018
2026-07-08,13541
2026-07-09,13407
2026-07-10,11357
2026-07-11,8634
2026-07-12,5870
2026-07-13,14620
2026-07-14,15460
2026-07-15,13239
2026-07-16,13400
2026-07-17,12328
2026-07-18,9147
2026-07-19,6125
2026-07-20,15103
2026-07-21,15346
2026-07-22,13054
2026-07-23,13131
2026-07-24,11586
2026-07-25,8863
2026-07-26,6735
2026-07-27,15290
2026-07-28,15342
2026-07-29,13169
2026-07-30,13149
2026-07-31,11359
2026-08-01,8959
2026-08-02,6874
2026-08-03,14804
2026-08-04,15254
2026-08-05,14592
2026-08-06,13614
2026-08-07,12210
2026-08-08,8937
2026-08-09,7111
2026-08-10,15677
2026-08-11,15094
2026-08-12,13430
2026-08-13,14267
2026-08-14,12257
2026-08-15,10568
2026-08-16,6391
2026-08-17,16281
2026-08-18,15723
2026-08-19,13233
2026-08-20,13773
2026-08-21,12356
2026-08-22,9308
2026-08-23,6893
2026-08-24,16330
2026-08-25,15487
2026-08-26,14112
2026-08-27,14821
2026-08-28,12210
2026-08-29,9186
2026-08-30,7434
2026-08-31,16042
2026-09-01,15806
2026-09-02,13981
2026-09-03,14282
2026-09-04,12779
2026-09-05,9754
2026-09-06,7713
2026-09-07,15812
2026-09-08,15938
2026-09-09,14063
