date,shift,inbound_stock,workers_assigned,processing_rate_per_worker,actual_processing_time,shift_hours,peak_period,equipment_available
2026-06-11,Day,12823,15,111.3,7.68,8.0,0,15
2026-06-12,Day,10894,11,100.7,9.83,8.0,0,12
2026-06-13,Day,8183,10,98.3,8.32,8.0,0,16
2026-06-14,Day,6157,10,114.0,5.4,8.0,0,12
2026-06-15,Day,14454,16,98.8,9.14,8.0,1,16
2026-06-16,Day,14315,17,104.5,8.06,8.0,1,16
2026-06-17,Day,13155,17,105.7,7.32,8.0,0,12
2026-06-18,Day,12739,13,114.4,8.57,8.0,0,16
2026-06-19,Day,10858,13,102.1,8.18,8.0,0,15
2026-06-20,Day,8109,10,106.4,7.62,8.0,0,12
2026-06-21,Day,5849,10,103.3,5.66,8.0,0,15
2026-06-22,Day,14709,16,107.7,8.54,8.0,1,12
2026-06-23,Day,14529,16,113.2,8.02,8.0,1,15
2026-06-24,Day,13304,16,98.8,8.42,8.0,0,15
2026-06-25,Day,12384,16,108.0,7.17,8.0,0,16
2026-06-26,Day,10943,14,107.2,7.29,8.0,0,14
2026-06-27,Day,8541,10,111.4,7.67,8.0,0,15
2026-06-28,Day,6366,10,104.1,6.12,8.0,0,14
2026-06-29,Day,14814,16,99.6,9.3,8.0,1,15
2026-06-30,Day,15058,19,110.4,7.18,8.0,1,15
2026-07-01,Day,12984,17,114.5,6.67,8.0,0,16
2026-07-02,Day,13379,17,107.5,7.32,8.0,0,15
2026-07-03,Day,12501,13,98.4,9.77,8.0,0,14
2026-07-04,Day,8141,10,103.3,7.88,8.0,0,15
2026-07-05,Day,6105,10,107.2,5.69,8.0,0,14
2026-07-06,Day,14949,19,99.3,7.92,8.0,1,14
2026-07-07,Day,15018,18,111.7,7.47,8.0,1,14
2026-07-08,Day,13541,16,103.5,8.18,8.0,0,14
2026-07-09,Day,13407,13,101.9,10.12,8.0,0,15
2026-07-10,Day,11357,14,104.0,7.8,8.0,0,15
2026-07-11,Day,8634,12,109.8,6.55,8.0,0,14
2026-07-12,Day,5870,10,103.5,5.67,8.0,0,15
2026-07-13,Day,14620,15,102.3,9.53,8.0,1,14
2026-07-14,Day,15460,17,110.1,8.26,8.0,1,14
2026-07-15,Day,13239,17,103.9,7.5,8.0,0,15
2026-07-16,Day,13400,14,107.0,8.95,8.0,0,15
2026-07-17,Day,12328,14,104.3,8.44,8.0,0,14
2026-07-18,Day,9147,12,108.7,7.01,8.0,0,15
2026-07-19,Day,6125,10,100.6,6.09,8.0,0,15
2026-07-20,Day,15103,19,112.6,7.06,8.0,1,15
2026-07-21,Day,15346,18,103.9,8.21,8.0,1,12
2026-07-22,Day,13054,13,109.7,9.15,8.0,0,15
2026-07-23,Day,13131,14,102.4,9.16,8.0,0,15
2026-07-24,Day,11586,12,114.7,8.42,8.0,0,15
2026-07-25,Day,8863,10,101.2,8.76,8.0,0,14
2026-07-26,Day,6735,10,110.3,6.11,8.0,0,16
2026-07-27,Day,15290,19,99.4,8.1,8.0,1,14
2026-07-28,Day,15342,19,107.9,7.48,8.0,1,15
2026-07-29,Day,13169,14,109.8,8.57,8.0,0,15
2026-07-30,Day,13149,13,101.0,10.01,8.0,0,12
2026-07-31,Day,11359,13,109.2,8.0,8.0,0,15
2026-08-01,Day,8959,11,106.6,7.64,8.0,0,15
2026-08-02,Day,6874,10,106.3,6.47,8.0,0,16
2026-08-03,Day,14804,17,111.5,7.81,8.0,1,15
2026-08-04,Day,15254,20,101.9,7.48,8.0,1,15
2026-08-05,Day,14592,18,98.4,8.24,8.0,0,15
2026-08-06,Day,13614,18,107.7,7.02,8.0,0,16
2026-08-07,Day,12210,15,103.0,7.9,8.0,0,15
2026-08-08,Day,8937,10,107.5,8.31,8.0,0,16
