date,outbound_stock
2026-06-11,12691
2026-06-12,12233
2026-06-13,8410
2026-06-14,5313
2026-06-15,11210
2026-06-16,11310
2026-06-17,13551
2026-06-18,12393
2026-06-19,12854
2026-06-20,8299
2026-06-21,4752
2026-06-22,12085
2026-06-23,11649
2026-06-24,12476
2026-06-25,12695
2026-06-26,12181
2026-06-27,7889
2026-06-28,4463
2026-06-29,12112
2026-06-30,11728
2026-07-01,12455
2026-07-02,12625
2026-07-03,12896
2026-07-04,8714
2026-07-05,4878
2026-07-06,11679
2026-07-07,12042
2026-07-08,12582
2026-07-09,12888
2026-07-10,12370
2026-07-11,8767
2026-07-12,5370
2026-07-13,12151
2026-07-14,12274
2026-07-15,12713
2026-07-16,13014
2026-07-17,12804
2026-07-18,8448
2026-07-19,5863
2026-07-20,12032
2026-07-21,12098
2026-07-22,12869
2026-07-23,13335
2026-07-24,13541
2026-07-25,9040
2026-07-26,5156
2026-07-27,11377
2026-07-28,12354
2026-07-29,13346
2026-07-30,12667
2026-07-31,13555
2026-08-01,9380
2026-08-02,5379
2026-08-03,12159
2026-08-04,12262
2026-08-05,13783
2026-08-06,14022
2026-08-07,13439
2026-08-08,9355
2026-08-09,5802
2026-08-10,12251
2026-08-11,12527
2026-08-12,13033
2026-08-13,13458
2026-08-14,13223
2026-08-15,8963
2026-08-16,5174
2026-08-17,12204
2026-08-18,12866
2026-08-19,13007
2026-08-20,13650
2026-08-21,13740
2026-08-22,9226
2026-08-23,6352
2026-08-24,12422
2026-08-25,13056
2026-08-26,13645
2026-08-27,13299
2026-08-28,13466
2026-08-29,10049
2026-08-30,5866
2026-08-31,12609
2026-09-01,12598
2026-09-02,13474
2026-09-03,13868
2026-09-04,13957
2026-09-05,8843
2026-09-06,6804
2026-09-07,12154
2026-09-08,12201
2026-09-09,14136
