date,shift,outbound_stock,workers_assigned,processing_rate_per_worker,actual_processing_time,shift_hours,peak_period,equipment_available
2026-06-11,Outbound-Main,12691,14,117.8,7.7,8.0,1,16
2026-06-12,Outbound-Main,12233,12,109.6,9.3,8.0,1,16
2026-06-13,Outbound-Main,8410,10,119.8,7.02,8.0,0,16
2026-06-14,Outbound-Main,5313,10,106.3,5.0,8.0,0,16
2026-06-15,Outbound-Main,11210,10,106.3,10.55,8.0,0,16
2026-06-16,Outbound-Main,11310,10,107.8,10.49,8.0,0,18
2026-06-17,Outbound-Main,13551,13,103.0,10.12,8.0,0,18
2026-06-18,Outbound-Main,12393,15,119.1,6.94,8.0,1,18
2026-06-19,Outbound-Main,12854,14,110.9,8.28,8.0,1,14
2026-06-20,Outbound-Main,8299,10,114.1,7.27,8.0,0,16
2026-06-21,Outbound-Main,4752,10,104.0,4.57,8.0,0,18
2026-06-22,Outbound-Main,12085,14,114.4,7.55,8.0,0,18
2026-06-23,Outbound-Main,11649,11,103.8,10.2,8.0,0,14
2026-06-24,Outbound-Main,12476,13,118.1,8.13,8.0,0,14
2026-06-25,Outbound-Main,12695,16,103.5,7.67,8.0,1,18
2026-06-26,Outbound-Main,12181,14,106.3,8.19,8.0,1,18
2026-06-27,Outbound-Main,7889,10,115.6,6.82,8.0,0,16
2026-06-28,Outbound-Main,4463,10,107.9,4.14,8.0,0,16
2026-06-29,Outbound-Main,12112,15,102.2,7.9,8.0,0,16
2026-06-30,Outbound-Main,11728,11,114.3,9.33,8.0,0,16
2026-07-01,Outbound-Main,12455,12,108.7,9.55,8.0,0,16
2026-07-02,Outbound-Main,12625,13,102.2,9.5,8.0,1,18
2026-07-03,Outbound-Main,12896,16,107.8,7.48,8.0,1,14
2026-07-04,Outbound-Main,8714,10,111.4,7.82,8.0,0,16
2026-07-05,Outbound-Main,4878,10,113.3,4.31,8.0,0,16
2026-07-06,Outbound-Main,11679,14,108.0,7.72,8.0,0,14
2026-07-07,Outbound-Main,12042,14,110.3,7.8,8.0,0,16
2026-07-08,Outbound-Main,12582,12,106.7,9.83,8.0,0,16
2026-07-09,Outbound-Main,12888,12,107.0,10.04,8.0,1,16
2026-07-10,Outbound-Main,12370,16,118.4,6.53,8.0,1,18
2026-07-11,Outbound-Main,8767,10,109.5,8.01,8.0,0,16
2026-07-12,Outbound-Main,5370,10,102.5,5.24,8.0,0,16
2026-07-13,Outbound-Main,12151,11,110.6,9.99,8.0,0,18
2026-07-14,Outbound-Main,12274,11,119.5,9.34,8.0,0,18
2026-07-15,Outbound-Main,12713,16,103.1,7.71,8.0,0,14
2026-07-16,Outbound-Main,13014,16,120.0,6.78,8.0,1,18
2026-07-17,Outbound-Main,12804,16,112.5,7.11,8.0,1,16
2026-07-18,Outbound-Main,8448,11,110.1,6.98,8.0,0,14
2026-07-19,Outbound-Main,5863,10,106.9,5.48,8.0,0,16
2026-07-20,Outbound-Main,12032,12,108.4,9.25,8.0,0,14
2026-07-21,Outbound-Main,12098,12,111.0,9.08,8.0,0,16
2026-07-22,Outbound-Main,12869,12,111.9,9.58,8.0,0,16
2026-07-23,Outbound-Main,13335,15,109.3,8.13,8.0,1,14
2026-07-24,Outbound-Main,13541,15,118.3,7.63,8.0,1,16
2026-07-25,Outbound-Main,9040,10,108.3,8.35,8.0,0,16
2026-07-26,Outbound-Main,5156,10,108.3,4.76,8.0,0,16
2026-07-27,Outbound-Main,11377,13,107.4,8.15,8.0,0,16
